"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"1400000US25005653102","Census Tract 6531.02, Bristol County, Massachusetts","5250","297","4953","4780","4463","175","6","86","0","50","173","149","6","9","14","9","92","0","0","0","16","0","0","0","0","1","2","22","0","0","0","20","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005653203","Census Tract 6532.03, Bristol County, Massachusetts","5096","172","4924","4704","4461","53","13","108","1","68","220","184","29","21","20","0","71","0","2","0","39","1","0","0","1","0","0","31","9","2","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005653204","Census Tract 6532.04, Bristol County, Massachusetts","3373","88","3285","3119","2889","35","10","168","0","17","166","147","13","11","34","0","55","3","1","0","29","0","0","1","0","0","0","19","2","0","0","11","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005653301","Census Tract 6533.01, Bristol County, Massachusetts","5177","109","5068","4929","4771","28","3","93","0","34","139","126","17","14","13","3","48","1","1","0","24","0","0","0","0","5","0","12","0","0","0","8","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005653304","Census Tract 6533.04, Bristol County, Massachusetts","3281","73","3208","3096","3011","20","0","29","0","36","112","95","9","16","5","0","51","1","0","1","11","0","0","0","1","0","0","17","4","0","0","3","0","0","0","0","2","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005654100","Census Tract 6541, Bristol County, Massachusetts","7207","162","7045","6804","6649","31","5","46","0","73","241","212","26","29","18","2","110","1","0","0","23","0","0","1","0","2","0","27","0","0","0","22","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005654200","Census Tract 6542, Bristol County, Massachusetts","3352","94","3258","3116","3049","18","17","15","0","17","142","119","8","34","11","0","57","0","1","0","8","0","0","0","0","0","0","23","0","0","0","19","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005655100","Census Tract 6551, Bristol County, Massachusetts","4267","119","4148","3982","3876","13","6","42","0","45","166","137","15","28","1","0","43","0","2","0","46","0","0","2","0","0","0","29","0","0","0","26","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005655200","Census Tract 6552, Bristol County, Massachusetts","4488","188","4300","4134","3950","44","13","86","1","40","166","148","27","18","2","0","79","2","2","1","16","0","0","0","0","0","1","14","0","0","0","10","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005655300","Census Tract 6553, Bristol County, Massachusetts","3341","127","3214","3075","2978","28","14","31","1","23","139","120","6","19","6","0","69","2","0","0","17","0","0","1","0","0","0","16","0","2","0","13","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005655400","Census Tract 6554, Bristol County, Massachusetts","3828","67","3761","3616","3524","26","1","43","0","22","145","124","11","35","11","0","51","1","0","1","12","1","0","1","0","0","0","21","2","0","0","15","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005985500","Census Tract 9855, Bristol County, Massachusetts","4475","384","4091","3661","2862","615","2","157","0","25","430","420","2","6","15","0","150","1","1","0","243","0","0","0","2","0","0","9","1","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005985600","Census Tract 9856, Bristol County, Massachusetts","5733","230","5503","5334","4902","211","9","158","4","50","169","160","25","20","32","1","55","3","0","0","19","0","0","0","4","0","1","8","4","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25005990000","Census Tract 9900, Bristol County, Massachusetts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25007200100","Census Tract 2001, Dukes County, Massachusetts","4815","153","4662","4039","3575","201","24","49","0","190","623","588","54","52","29","1","399","12","2","1","35","1","0","1","1","0","0","27","10","3","0","10","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","3","3"
"1400000US25007200200","Census Tract 2002, Dukes County, Massachusetts","5341","134","5207","4639","3918","386","55","56","6","218","568","531","44","21","21","6","375","22","6","1","21","4","1","2","4","3","0","30","16","0","0","9","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","7","2","1","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25007200300","Census Tract 2003, Dukes County, Massachusetts","5168","146","5022","4579","4248","114","13","45","1","158","443","414","34","22","18","10","308","1","3","0","18","0","0","0","0","0","0","21","3","0","0","7","0","0","6","0","0","0","0","0","1","0","4","0","0","0","0","0","7","1","0","4","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1"
"1400000US25007200400","Census Tract 2004, Dukes County, Massachusetts","5276","101","5175","4864","4489","94","110","34","2","135","311","276","27","31","30","4","148","15","3","0","11","2","1","1","1","2","0","27","1","5","0","11","0","0","0","0","0","0","0","0","8","0","1","0","0","0","1","0","8","2","0","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25007990000","Census Tract 9900, Dukes County, Massachusetts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009201100","Census Tract 2011, Essex County, Massachusetts","3334","102","3232","3137","3033","37","1","52","0","14","95","88","21","17","23","2","19","0","2","0","4","0","0","0","0","0","0","7","0","0","0","1","1","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts","2255","141","2114","2037","1948","20","6","45","0","18","77","73","6","11","13","1","41","0","0","0","1","0","0","0","0","0","0","4","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009202103","Census Tract 2021.03, Essex County, Massachusetts","1735","176","1559","1512","1410","46","1","34","2","19","47","41","12","3","9","0","14","2","1","0","0","0","0","0","0","0","0","5","2","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009202104","Census Tract 2021.04, Essex County, Massachusetts","4941","433","4508","4340","4038","137","1","117","3","44","168","161","33","7","44","1","66","0","0","0","8","0","0","1","1","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US25009202200","Census Tract 2022, Essex County, Massachusetts","6188","254","5934","5775","5568","51","0","130","0","26","159","150","25","18","42","4","53","0","3","0","5","0","0","0","0","0","0","6","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009203100","Census Tract 2031, Essex County, Massachusetts","7232","276","6956","6771","6589","46","4","109","1","22","185","177","23","23","48","2","74","0","1","0","4","1","0","0","1","0","0","8","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009203200","Census Tract 2032, Essex County, Massachusetts","4668","173","4495","4346","4252","29","3","50","0","12","149","139","19","19","40","2","57","0","0","0","2","0","0","0","0","0","0","10","0","5","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts","4098","141","3957","3842","3711","31","10","70","0","20","115","111","24","11","39","1","35","0","0","0","0","0","0","0","1","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts","4443","180","4263","4119","4003","48","1","41","0","26","144","138","28","16","33","0","58","3","0","0","0","0","0","0","0","0","0","4","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts","4664","830","3834","3623","3255","219","3","123","0","23","211","196","52","37","20","1","72","1","3","3","6","1","0","0","0","0","0","14","5","5","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts","5708","793","4915","4678","4220","298","3","134","5","18","237","217","59","23","60","4","51","3","0","1","14","0","0","0","0","2","0","20","5","0","0","8","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
